Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
flank,0,2,4,22,30,28,14,86,100,5.199999999999999
burly,0,1,7,22,29,21,20,80,100,5.219999999999999
froze,0,1,4,15,32,28,20,80,100,5.42
whale,0,1,8,25,39,21,6,94,100,4.89
hobby,0,0,4,15,29,25,27,73,100,5.56
wheel,0,0,13,27,39,19,2,98,100,4.699999999999999
heart,0,2,14,27,34,17,6,94,100,4.68
disco,0,0,25,32,31,11,1,99,100,4.3100000000000005
ethos,0,2,11,44,27,14,2,98,100,4.46
curly,0,1,8,24,31,20,16,84,100,5.09
bathe,0,0,10,32,32,20,6,94,100,4.8
style,0,1,16,33,28,20,2,98,100,4.56
tenth,0,2,13,28,36,18,3,97,100,4.64
beget,0,0,7,30,38,22,3,97,100,4.84
party,0,0,4,25,30,25,16,84,100,5.24
chart,0,0,8,18,30,23,21,79,100,5.31
anode,0,2,13,40,28,15,2,98,100,4.47
polyp,0,0,10,50,34,6,0,100,100,4.36
brook,0,0,9,26,34,28,3,97,100,4.8999999999999995
bully,0,0,7,15,27,20,31,69,100,5.53
lover,0,0,5,14,27,23,31,69,100,5.609999999999999
empty,0,3,18,55,23,1,0,100,100,4.01
hello,0,0,10,32,34,17,7,93,100,4.790000000000001
quick,0,0,11,17,45,24,3,97,100,4.909999999999999
wrath,0,3,11,38,34,11,3,97,100,4.48
snaky,0,2,9,29,43,15,2,98,100,4.66
index,0,2,12,30,41,12,3,97,100,4.579999999999999
scrub,0,1,13,34,41,8,3,97,100,4.51
amiss,0,1,14,31,32,17,5,95,100,4.65
exact,0,0,9,31,40,16,4,96,100,4.75
magma,0,0,5,27,34,23,11,89,100,5.08
quest,0,1,8,29,26,30,6,94,100,4.9399999999999995
beach,0,0,8,30,39,19,4,96,100,4.81
spice,0,2,5,25,24,20,24,76,100,5.27
verve,0,0,4,16,22,38,20,80,100,5.539999999999999
wordy,0,0,11,30,24,19,16,84,100,4.99
ocean,0,1,17,44,32,6,0,100,100,4.25
choir,0,2,18,40,29,9,2,98,100,4.31
peace,0,0,5,25,38,25,7,93,100,5.04
write,0,1,11,31,34,16,7,93,100,4.74
caper,0,1,6,12,21,20,40,60,100,5.7299999999999995
audio,0,0,11,34,39,13,3,97,100,4.63
bride,0,0,7,29,31,13,20,80,100,5.1
space,0,0,7,20,32,21,20,80,100,5.27
onion,0,1,9,29,41,17,3,97,100,4.7299999999999995
await,0,1,17,29,39,10,4,96,100,4.52
giddy,0,1,9,22,33,21,14,86,100,5.0600000000000005
birch,0,0,22,40,27,11,0,100,100,4.2700000000000005
gnash,0,1,17,42,31,6,3,97,100,4.33
dwell,0,1,10,41,38,9,1,99,100,4.470000000000001
rouse,0,1,12,39,28,10,10,90,100,4.64
lucky,0,0,13,24,30,19,14,86,100,4.970000000000001
quote,0,1,6,34,40,15,4,96,100,4.74
older,0,2,10,45,22,14,7,93,100,4.57
whisk,0,0,13,39,35,11,2,98,100,4.5
clear,0,2,19,29,36,11,3,97,100,4.44
rayon,0,2,14,34,35,13,2,98,100,4.49
exert,0,0,10,23,46,18,3,97,100,4.81
angel,0,3,10,50,27,10,0,100,100,4.31
music,0,1,17,47,27,7,1,99,100,4.250000000000001
frank,0,1,8,17,25,29,20,80,100,5.33
close,0,1,18,31,35,7,8,92,100,4.529999999999999
snare,0,1,8,20,23,21,27,73,100,5.359999999999999
stone,0,5,8,24,26,20,17,83,100,4.99
brush,0,2,15,25,40,16,2,98,100,4.59
