Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
quest,0,5,25,37,24,7,2,98,1293049,4.09
beach,1,8,31,38,18,3,1,99,1444350,3.77
spice,0,5,25,32,24,11,3,97,1620581,4.2
verve,0,0,3,15,37,31,14,86,1323595,5.380000000000001
wordy,0,2,17,41,29,9,2,98,1422502,4.319999999999999
ocean,1,5,30,40,19,4,1,99,1156717,3.8700000000000006
choir,0,9,44,36,9,1,1,99,1334961,3.52
peace,0,4,30,41,19,5,1,99,1333798,3.94
write,0,9,35,34,16,5,1,99,1482369,3.7599999999999993
caper,0,4,23,34,22,12,5,95,1701040,4.3
audio,5,11,24,33,19,6,2,98,1329051,3.76
bride,0,6,26,38,23,6,1,99,1502407,3.9999999999999996
space,0,8,35,36,16,4,1,99,1490202,3.7600000000000002
onion,0,3,25,40,23,7,2,98,1555345,4.12
await,0,2,23,42,23,8,2,98,1194493,4.18
giddy,0,1,17,40,28,11,3,97,1382946,4.3999999999999995
birch,0,4,34,44,14,3,1,99,1427955,3.8100000000000005
gnash,0,2,16,31,27,16,8,92,1416609,4.630000000000001
dwell,0,2,14,43,31,8,2,98,1335133,4.349999999999999
rouse,0,9,28,35,19,7,2,98,1457284,3.93
lucky,0,3,30,47,15,4,1,99,1374059,3.9
quote,0,7,35,36,16,5,1,99,1273585,3.7999999999999994
older,0,2,22,37,26,10,3,97,1427532,4.29
whisk,0,3,28,44,19,5,1,99,1388193,3.98
clear,0,12,37,35,13,2,1,99,1491988,3.59
rayon,0,2,21,38,26,11,2,98,1427245,4.29
exert,0,2,14,36,31,14,3,97,1354781,4.5
angel,0,4,24,41,23,7,1,99,1116715,4.08
music,0,5,33,45,14,2,1,99,1284346,3.78
frank,0,2,13,32,37,14,2,98,1496223,4.54
close,0,14,41,32,10,2,1,99,1526645,3.48
snare,0,7,20,28,26,14,5,95,1543720,4.35
stone,0,16,38,27,14,4,1,99,1538091,3.5500000000000003
brush,0,5,36,43,14,1,1,99,1487190,3.7300000000000004
carol,0,3,26,41,23,6,1,99,1355414,4.06
right,0,10,34,34,14,5,3,97,1336645,3.79
rocky,0,3,33,43,16,4,1,99,1473774,3.8800000000000003
loyal,0,1,16,40,31,10,2,98,117259,4.39
smile,0,9,30,37,19,4,1,99,1526459,3.82
coach,0,3,30,44,18,4,1,99,1450938,3.9299999999999993
